"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2002","204.2329","204.5998","210.0896","186.5684","","1.49%"
"03/01/2002","201.2279","180.3043","201.2279","180.3043","","13.99%"
"02/01/2002","176.5311","170.2396","176.7066","166.9939","","6.33%"
"01/01/2002","166.0257","173.2103","175.5065","163.6220","","-1.85%"
"12/01/2001","169.1572","171.1926","174.7635","163.4038","","-0.25%"
"11/01/2001","169.5750","172.0513","179.5397","161.9622","","-3.31%"
"10/01/2001","175.3805","180.5032","184.1190","174.0097","","-3.49%"
"09/01/2001","181.7182","201.4165","214.2537","176.4508","","-10.48%"
"08/01/2001","203.0028","201.5153","206.9833","200.2939","","0.64%"
"07/01/2001","201.7200","201.1673","208.9452","196.4458","","-0.47%"
"06/01/2001","202.6644","216.8409","223.1542","200.4938","","-6.87%"
"05/01/2001","217.6236","225.9424","227.5950","217.6236","","-2.95%"
"04/01/2001","224.2305","210.8111","230.5235","210.8111","","5.40%"
"03/01/2001","212.7381","222.8057","229.3934","212.7381","","-4.17%"
"02/01/2001","221.9866","235.2427","242.9454","221.9866","","-2.20%"
"01/01/2001","226.9736","239.3006","246.4047","226.9736","","-8.08%"
"12/01/2000","246.9237","249.9348","254.3747","234.4839","","-3.69%"
"11/01/2000","256.3840","239.3945","262.9087","237.7022","","8.31%"
"10/01/2000","236.7139","243.5356","261.2689","236.7072","","-0.32%"
"09/01/2000","237.4833","245.3099","255.9134","235.0279","","-2.83%"
"08/01/2000","244.3988","215.3192","244.7140","215.3192","","14.57%"
"07/01/2000","213.3268","235.4018","235.4018","213.3268","","-9.50%"
"06/01/2000","235.7137","226.1956","237.8327","223.9036","","5.61%"
"05/01/2000","223.2031","205.4560","229.0205","205.4560","","9.84%"
"04/01/2000","203.2085","204.6767","205.0087","193.1008","","-1.78%"
"03/01/2000","206.8815","222.5149","230.4045","203.9219","","-4.23%"
"02/01/2000","216.0089","209.3361","216.0089","205.6049","","4.67%"
"01/01/2000","206.3650","194.2237","209.0047","188.5528","","6.08%"
"12/01/1999","194.5372","190.9778","197.7741","189.4886","","2.57%"
"11/01/1999","189.6623","183.5998","198.9199","182.7891","","4.56%"
"10/01/1999","181.3901","191.0734","191.0734","175.8071","","-5.06%"
"09/01/1999","191.0630","181.2474","192.9837","178.2450","","5.20%"
"08/01/1999","181.6245","171.2025","181.6245","170.9188","","7.36%"
"07/01/1999","169.1718","162.6501","170.6022","161.5676","","3.56%"
"06/01/1999","163.3620","149.9942","163.3620","149.9942","","7.32%"
"05/01/1999","152.2197","161.6340","162.4368","152.1697","","-5.44%"
"04/01/1999","160.9771","152.8592","160.9771","149.2558","","4.57%"
"03/01/1999","153.9354","131.1051","154.2953","131.1051","","17.68%"
"02/01/1999","130.8113","133.4895","133.9257","130.0031","","-3.30%"
"01/01/1999","135.2692","134.7565","140.4372","132.1659","","1.69%"
"12/01/1998","133.0190","133.1336","136.9559","128.8857","","-0.35%"
"11/01/1998","133.4806","148.2528","150.8457","133.4806","","-10.11%"
"10/01/1998","148.4851","150.7718","152.2520","146.9205","","-3.43%"
"09/01/1998","153.7656","139.3525","153.7656","138.7980","","12.27%"
"08/01/1998","136.9596","141.2222","144.1204","136.9596","","-4.63%"
"07/01/1998","143.6022","154.9575","154.9575","143.6022","","-7.47%"
"06/01/1998","155.1993","157.1086","158.8751","149.4570","","-1.94%"
"05/01/1998","158.2691","166.5160","166.5160","156.4468","","-3.43%"
"04/01/1998","163.8963","165.4283","169.3189","163.6716","","-1.69%"
"03/01/1998","166.7150","164.9506","170.9636","158.0785","","0.98%"
"02/01/1998","165.0984","174.0576","174.0576","163.4723","","-5.26%"
"01/01/1998","174.2636","173.2876","176.8663","167.2654","","-0.77%"
"12/01/1997","175.6230","189.3757","189.3757","175.6230","","-6.92%"
"11/01/1997","188.6889","205.6334","205.9964","188.6889","","-9.35%"
"10/01/1997","208.1534","201.4265","211.4592","201.4265","","3.18%"
